epsd_form,etcsl_form,etcsri_form,comp1_wr
inim[word] sig[place],inim[word] sig[put],inim[word] sig[put],inim
isiš[sorrow] ŋar[place],isiš[tears] ŋar[place],,i-si-iš
izi[fire] dab[seize],,,
KA[cvve] dub[heap],,,
kag[mouth] bad[open],,,ka
kag[mouth] bala[turn],,,ka
kag[mouth] duh[loosen],kag[mouth] du[spread],,ka
kag[mouth] tum[bring],kag[mouth] de[bring],,ka
kaš[beer] sur[press],,,kaš
kaš[decision] bar[cvve],kaš[decision] bar[outside],,ka-aš ge-eš₈
kaš[runner] du[go],,,kaš₄
kaš[runner] dug[speak],,,kaš₄
kaš[runner] gunu[speckled],,,kaš₄
kaš[runner] kar[flee],,,kaš₄
kaš[runner] sar[run],,,kaš₄
kaš[urine] sur[press],,,kaš₃
katar[cvne] sil[split],,,
ki[place] aŋ[measure],,,ki
ki[place] dar[split],,,ki
ki[place] deg[collect],,,ki
ki[place] ŋar[place],,,ki
ki[place] hur[scratch],,,ki
ki[place] kiŋ[seek],,,ki
ki[place] la[hang],,,ki
ki[place] sub[rub],,,ki
ki[place] sur[press],,,ki
ki[place] tag[touch],,,ki
ki[place] tum[suitable],,,ki
ki[place] us[lean],ki[place] us[follow],ki[place] us[follow],ki
ki[place] za[cvve],,,ki
kiri[nose] du[build],,,giri₁₇
kiri[nose] hur[scratch],,,giri₁₇
kiri[nose] ur[smell],,,giri₁₇
kišer[limit] tuku[acquire],,,ki-še-er
kišib[seal] rah[beat],,,
kunkan[sound] za[cvve],,,kun-ka₃-an
kuš[devastation] su[cvve],kuš[devastation] su[sink],,kuš₇
kušum[cvne] tag[touch],,,kušum₄ kuš₃
ma[ship] da[cvve],,,ma₂
ma[ship] gid[drag],ma[ship] gid[long],,ma₂
me[silence] ŋar[place],me[Being] ŋar[place],,me
mete[appropriate thing] ŋal[be],,,
meteš[praise] e[leave],,,
mi[cvne] dug[speak],,,mi₂
mulmal[sound] za[cvve],,,mul-ma-al
murmara[ululation] ša[cvve],murmara[noise] ša[cvve],,
muš[face] dub[heap],,,muš₃ muš₂ muš
muš[face] tum[bring],muš[face] de[bring],muš[face] tum[lead],muš₃ muš₂ muš
na[cvne] deg[collect],na[man] deg[collect],,na
naŋa[potash] dub[tremble],,,
naŋa[potash] sub[rub],,,
nam[fate] kud[cut],,,nam
nam[fate] tar[cut],,,nam
namNERU[oath] kud[cut],namerim[oath] kud[cut],,nam-erim₂
ne[brazier] sub[rub],ne[cvne] sub[rub],,ne
ni[fear] gid[long],,,ni₂
ni[fear] gur[lift],,,ni₂
ni[fear] kar[blow],,,ni₂
ni[fear] RI[cry],,,ni₂
ni[fear] sig[place],ni[fear] sig[put],,ni₂
ni[fear] teŋ[approach],,,ni₂
ni[fear] ur[convulsed],,,ni₂
ni[self] buluŋ[grow],,,ni₂
ni[self] dub[tremble],,,ni₂
ni[self] gur[thick],,,ni₂
ni[self] il[raise],,,ni₂
ni[self] ten[cool],ni[self] ten[extinguish],,ni₂
nim[fly] ŋir[flash],,,nim
nir[trust] ŋal[be],,,nir
numun[seed] e[leave],,,numun
pa[branch] e[leave],,,pa
pudpad[sound] za[cvve],,,pu-ud-pa-ad
pugpag[sound] za[cvve],,,
sa[advice] dug[speak],,,sa₂
sa[advice] sig[cast],sa[advice] sig[put],,sa₂
sa[net] la[stretch],sa[net] la[hang],,sa
sa[sinew] gi[turn],,,sa
sa[sinew] la[hang],,,sa
saŋ[head] bala[turn],,,saŋ
saŋ[head] du[build],,,saŋ
saŋ[head] dub[tremble],,,saŋ
saŋ[head] e[leave],,,saŋ
saŋ[head] ŋal[be],,,saŋ
saŋ[head] gi[turn],,,saŋ
saŋ[head] gid[long],,,saŋ
saŋ[head] il[raise],,,saŋ
saŋ[head] kal[rare],,,saŋ
saŋ[head] kešed[bind],,,saŋ
saŋ[head] mu[grow],,,saŋ
saŋ[head] rig[donate],,,saŋ
saŋ[head] sag[beat],,,saŋ
saŋ[head] sal[thin],,,saŋ
saŋ[head] sig[place],saŋ[head] sig[put],,saŋ
saŋ[head] šum[give],,,saŋ
saŋ[head] tal[broad],,,saŋ
saŋ[head] tum[suitable],,,saŋ
saŋ[head] us[follow],,,saŋ
saŋ[head] zig[rise],,,saŋ
šag[heart] bala[turn],,,šag₄
šag[heart] dab[seize],,,šag₄
šag[heart] dar[split],,,šag₄
šag[heart] de[bring],,,šag₄
šag[heart] dug[good],,,šag₄
šag[heart] gur[thick],,,šag₄
šag[heart] huŋ[hire],,,šag₄
šag[heart] hul[rejoice],,,šag₄
šag[heart] kušu[tired],,,šag₄
šag[heart] sag[beat],,,šag₄
šag[heart] sag[good],,,šag₄
šag[heart] sed[cold],,,šag₄
šag[heart] sig[place],šag[heart] sig[put],,šag₄
šag[heart] sur[press],,,šag₄
saŋki[forehead] gid[long],,,saŋ-ki
še[cvne] ša[cvve],,,
šeg[voice] gi[turn],,,šeg₁₂ še₁₄
